Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Costa Rica,CRI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.662757084,4.87799831,4.495453144,5.231336142,4.519200985,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,0.724911478,1.726477551
Estados pequeos del Caribe,CSS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.403267231,4.217242655,2.987662292,1.287775325,1.301599002,-0.679637508,0.488912144,1.892520278,1.282842884,1.431355982,0.038521098,2.236849754
Cuba,CUB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Curacao,CUW,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834,,
Islas Caimán,CYM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,,,,
Chipre,CYP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672
República Checa,CZE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915
Alemania,DEU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015,0.50668989,3.142969673
Djibouti,DJI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,
Dominica,DMA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,-0.727116413,0.517172122
Dinamarca,DNK,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544
República Dominicana,DOM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.329932201,5.796768092,3.694497079,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348
Argelia,DZA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.611962344,5.235415915,3.225169573,2.927583516,3.370406974,1.086486299,1.757111589,2.88291165,2.828715785,1.857838416,2.393162393,2.477102415
inicial del dividendo demográfico,EAR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.453325375,5.81149209,5.018272542,4.824623143,4.073929575,3.062031696,3.219886894,3.328173375,3.957218312,2.759808735,3.086792948,4.261051274
Asia oriental y el Pacífico,EAS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.05730564,5.021460146,2.974607798,2.582687661,2.510876333,0.795279631,1.276990945,1.800342225,2.312603433,1.627243671,0.846905537,2.410192998
Europa y Asia central (excluido altos ingresos),ECA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.647353355,7.772792183,3.135311983,3.69143977,3.025060397,4.015631972,1.628620557,3.175309864,2.611223783,2.675992026,2.732492094,5.10641129
Europa y Asia central,ECS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.424473618,3.763681223,2.770890453,1.733619743,0.592255589,0.338705695,0.336675584,1.875100596,2.013219723,1.763735865,1.199983969,3.146287986
Ecuador,ECU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.554377346,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386
"Egipto, República Árabe de",EGY,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.545743785
Zona del Euro,EMU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.525516021,3.289449396,2.485675622,1.219993423,0.24104743,0.037514381,0.183334861,1.381458714,1.703497947,1.445667015,0.290554556,2.446088672
Eritrea,ERI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
España,ESP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.799864577,3.196101888,2.446127824,1.408581092,-0.151114838,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,-0.322753017,3.09313512
Estonia,EST,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,-0.444531098,4.653166738
Etiopía,ETH,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.14926403,33.24995988,23.60041768,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216
Unión Europea,EUU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.531122704,3.289449396,2.662841655,1.219993423,0.199343827,-0.06164468,0.183334861,1.429107433,1.73860862,1.630522608,0.497367319,2.554506996
Frágiles y situaciones de conflicto afectados,FCS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.480507637,5.442024705,5.478295943,3.433585268,1.979294711,1.476720489,1.917310902,1.759857429,2.29424307,2.302372515,2.930871841,5.262727516
Finlandia,FIN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.184135232,3.416807543,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323
Fiji,FJI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.689012297,7.278117827,3.423375234,2.913541936,0.519306475,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722
Francia,FRA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141
Islas Feroe,FRO,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Micronesia (Estados Federados de),FSM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.313709631,5.082594039,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064,0.689027979,1.79400376,1.539071461,0.550898204,
Gabón,GAB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.461544027,1.263317078,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562,1.17681176,
Reino Unido,GBR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.492654725,3.856112447,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601,0.989486704,2.518371096
Georgia,GEO,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.110178975,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489,9.566914338
